Club_Name,Club_Involved_Name
AS Roma,AS Roma
Atalanta BC,Atalanta BC
Atlético de Madrid,Atlético Madrid
FC Barcelona,Barcelona
Bayer 04 Leverkusen,Bay. Leverkusen
Bayern Munich,Bayern Munich
SL Benfica,Benfica
Borussia Dortmund,Bor. Dortmund
Brighton & Hove Albion,Brighton
Chelsea FC,Chelsea
Everton FC,Everton
FC Porto,FC Porto
Inter Milan,Inter
Juventus FC,Juventus
Leicester City,Leicester
LOSC Lille,LOSC Lille
Manchester City,Man City
AS Monaco,Monaco
Olympique Lyon,Olympique Lyon
Paris Saint-Germain,Paris SG
Portimonense SC,Portimonense
RB Leipzig,RB Leipzig
Real Madrid,Real Madrid
SC Braga,SC Braga
Sevilla FC,Sevilla FC
Sporting CP,Sporting CP
SSC Napoli,SSC Napoli
Stade Rennais FC,Stade Rennais
TSG 1899 Hoffenheim,TSG Hoffenheim
Valencia CF,Valencia
